id,default_code,name,is_storable,tracking,categ_id:id
product_template_41852,41852,3DB 450-460 UHF Gain Antenna,TRUE,none,aak_product_data.product_category_components
product_template_41981,41981,195-245 MHZ QUAD DIPOLE ANTENNA,TRUE,none,aak_product_data.product_category_components
product_template_42011,42011,Antenna 144-174 1/2 Wave Antenna,TRUE,none,aak_product_data.product_category_components
product_template_42395,42395,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_42576,42576,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_42640,42640,Mag Mount,TRUE,none,aak_product_data.product_category_components
product_template_42661,42661,Rev. Gender SMA/M RG58,TRUE,none,aak_product_data.product_category_components
product_template_42717,42717,MMK4 Mount Clamp,TRUE,none,aak_product_data.product_category_components
product_template_42966,42966,156-162mhz Unity Base Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_43139,43139,Mini UHF C..onnector..,TRUE,none,aak_product_data.product_category_components
product_template_43390,43390,N to BNC Connector..,TRUE,none,aak_product_data.product_category_components
product_template_43839,43839,Polyphaser,TRUE,none,aak_product_data.product_category_components
product_template_43884,43884,152-162  14 Wave Antenna,TRUE,none,aak_product_data.product_category_components
product_template_44039,44039,"10' X 18"" Cable Ladder, Gray",TRUE,none,aak_product_data.product_category_components
product_template_44203,44203,Mini U to PL259,TRUE,none,aak_product_data.product_category_components
product_template_44728,44728,N Female Connector LMR400,TRUE,none,aak_product_data.product_category_components
product_template_45179,45179,Mag Mount,TRUE,none,aak_product_data.product_category_components
product_template_45888,45888,N Female connector,TRUE,none,aak_product_data.product_category_components
product_template_45972,45972,450-470 On Glass Antenna,TRUE,none,aak_product_data.product_category_components
product_template_46097,46097,DE-DC Converter,TRUE,none,aak_product_data.product_category_components
product_template_46135,46135,LMR Fire Retardant,TRUE,none,aak_product_data.product_category_components
product_template_47001,47001,"POLYPHASER 1.5-700 MHz flange mnt. protector 50,000 amps surge <10mJ throughput energy",TRUE,none,aak_product_data.product_category_components
product_template_48042,48042,5 AMP Mini ATM Pigtail,TRUE,none,aak_product_data.product_category_components
product_template_48055,48055,10A Pigtail,TRUE,none,aak_product_data.product_category_components
product_template_48072,48072,ACCELE Mini ATM pigtail fuse. 15 amp 12 per pack.,TRUE,none,aak_product_data.product_category_components
product_template_48079,48079,20 AMP Mini ATM Pigtail,TRUE,none,aak_product_data.product_category_components
product_template_48159,48159,15 Amp Fuse (12 Pack),TRUE,none,aak_product_data.product_category_components
product_template_48166,48166,20A Fuse  12Pk..,TRUE,none,aak_product_data.product_category_components
product_template_48272,48272,Galvanized Plain End Pipe,TRUE,none,aak_product_data.product_category_components
product_template_48343,48343,"LARSEN 800-866 MHz NMO collinear mobile antenna. 3.4dB gain, 200 watts. Order Motorola style mount separately. Black.",TRUE,none,aak_product_data.product_category_components
product_template_48639,48639,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_48843,48843,TNC M Crimp..,TRUE,none,aak_product_data.product_category_components
product_template_49003,49003,"1-5/8"""" Snap-In Hanger Kit",TRUE,none,aak_product_data.product_category_components
product_template_49165,49165,LAIRD 450-470 MHz Unity gain 1/4 wave antenna,TRUE,none,aak_product_data.product_category_components
product_template_49534,49534,Element,TRUE,none,aak_product_data.product_category_components
product_template_49537,49537,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_49614,49614,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_49635,49635,BNC MALE CRIMP CONNECTOR..,TRUE,none,aak_product_data.product_category_components
product_template_50155,50155,Side Mount Kit,TRUE,none,aak_product_data.product_category_components
product_template_50805,50805,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_51124,51124,"RF INDUSTRIES N female connector for RG8/X, Belden 9258, Micro 8/U, Remee 1600, Times LMR240 coaxial cables. Silver body, gold pin. Crimp style.",TRUE,none,aak_product_data.product_category_components
product_template_52358,52358,"GAI-TRONICS programming cable for ITR2000/2300, IPE2500, ITI6000, IRC3000, ITD2000A/3000A, amplified speakers.",TRUE,none,aak_product_data.product_category_components
product_template_52387,52387,Connector,TRUE,none,aak_product_data.product_category_components
product_template_52400,52400,"ICT switching voltage converter. 20-30 VDC input, 13.8 VDC output. 13.5 amps continuous, 15.0 amps maximum/..",TRUE,none,aak_product_data.product_category_components
product_template_52719,52719,"#8X1/2"" Waferhead",TRUE,none,aak_product_data.product_category_components
product_template_52885,52885,Junction Box..,TRUE,none,aak_product_data.product_category_components
product_template_53350,53350,1/4 Split Loom,TRUE,none,aak_product_data.product_category_components
product_template_53671,53671,Magnetic Mount with Mini UHF Connector,TRUE,none,aak_product_data.product_category_components
product_template_53682,53682,3db Gain Fiberglass Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_53696,53696,1/2in 20ft Split Loom Wire Flexible Tubing..,TRUE,none,aak_product_data.product_category_components
product_template_54680,54680,N Male Connector..,TRUE,none,aak_product_data.product_category_components
product_template_54760,54760,Base-loaded 5/8 wave antenna with spring,TRUE,none,aak_product_data.product_category_components
product_template_54771,54771,"PL259M Crimp-On, RG58",TRUE,none,aak_product_data.product_category_components
product_template_54811,54811,806-866 5db Antenna,TRUE,none,aak_product_data.product_category_components
product_template_54839,54839,LAIRD 450-470 MHz base loaded 5 dB 5/8 over 5/8 wave antenna with spring. 200 watts. Order mount separately.,TRUE,none,aak_product_data.product_category_components
product_template_54919,54919,N Male (LMR-240),TRUE,none,aak_product_data.product_category_components
product_template_55234,55234,30HX23WX25D IN Cabinet Indoor Cream,TRUE,none,aak_product_data.product_category_components
product_template_55676,55676,"DECIBEL mounting clamp kit. Fits round member up to 3 1/2"" OD. Angle members up to 3"" on a side. (Set of two). Dual single-bolt configuration...",TRUE,none,aak_product_data.product_category_components
product_template_56159,56159,1/32nd inch Solder Tip..,TRUE,none,aak_product_data.product_category_components
