id,component_id:id,product_id,quantity
product_components__component_list_2way_radio__69293,component_list_2way_radio,69293,1
product_components__component_list_2way_radio__211159,component_list_2way_radio,211159,1
product_components__component_list_2way_radio__14459,component_list_2way_radio,14459,1
product_components__component_list_2way_radio__62035,component_list_2way_radio,62035,1
product_components__component_list_2way_radio__88463,component_list_2way_radio,88463,1
product_components__component_list_2way_radio__36856,component_list_2way_radio,36856,1
product_components__component_list_2way_radio__201437,component_list_2way_radio,201437,1
product_components__component_list_2way_radio__52358,component_list_2way_radio,52358,1
product_components__component_list_2way_radio__48272,component_list_2way_radio,48272,1
product_components__component_list_2way_radio__204755,component_list_2way_radio,204755,1
product_components__component_list_2way_radio__35662,component_list_2way_radio,35662,1
product_components__component_list_2way_radio__22448,component_list_2way_radio,22448,1
product_components__component_list_2way_radio__22265,component_list_2way_radio,22265,1
product_components__component_list_2way_radio__68860,component_list_2way_radio,68860,1
product_components__component_list_2way_radio__58559,component_list_2way_radio,58559,1
product_components__component_list_2way_radio__52400,component_list_2way_radio,52400,1
product_components__component_list_2way_radio__213651,component_list_2way_radio,213651,1
product_components__component_list_2way_radio__52885,component_list_2way_radio,52885,1
product_components__component_list_2way_radio__15124,component_list_2way_radio,15124,1
product_components__component_list_2way_radio__76219,component_list_2way_radio,76219,1
product_components__component_list_2way_radio__79784,component_list_2way_radio,79784,1
product_components__component_list_2way_radio__10772,component_list_2way_radio,10772,1
product_components__component_list_2way_radio__35951,component_list_2way_radio,35951,1
product_components__component_list_2way_radio__49165,component_list_2way_radio,49165,1
product_components__component_list_2way_radio__54839,component_list_2way_radio,54839,1
product_components__component_list_2way_radio__26484,component_list_2way_radio,26484,1
product_components__component_list_2way_radio__68460,component_list_2way_radio,68460,1
product_components__component_list_2way_radio__95355,component_list_2way_radio,95355,1
product_components__component_list_2way_radio__60656,component_list_2way_radio,60656,1
product_components__component_list_2way_radio__56237,component_list_2way_radio,56237,1
product_components__component_list_2way_radio__37200,component_list_2way_radio,37200,1
product_components__component_list_2way_radio__93622,component_list_2way_radio,93622,1
product_components__component_list_2way_radio__16986,component_list_2way_radio,16986,1
product_components__component_list_2way_radio__48343,component_list_2way_radio,48343,1
product_components__component_list_2way_radio__79242,component_list_2way_radio,79242,1
product_components__component_list_2way_radio__40451,component_list_2way_radio,40451,1
product_components__component_list_2way_radio__37826,component_list_2way_radio,37826,1
product_components__component_list_2way_radio__24612,component_list_2way_radio,24612,1
product_components__component_list_2way_radio__40260,component_list_2way_radio,40260,1
product_components__component_list_2way_radio__35065,component_list_2way_radio,35065,1
product_components__component_list_2way_radio__27046,component_list_2way_radio,27046,1
product_components__component_list_2way_radio__46135,component_list_2way_radio,46135,1
product_components__component_list_2way_radio__40924,component_list_2way_radio,40924,1
product_components__component_list_2way_radio__73329,component_list_2way_radio,73329,1
product_components__component_list_2way_radio__89695,component_list_2way_radio,89695,1
product_components__component_list_2way_radio__86672,component_list_2way_radio,86672,1
product_components__component_list_2way_radio__61107,component_list_2way_radio,61107,1
product_components__component_list_2way_radio__92785,component_list_2way_radio,92785,1
product_components__component_list_2way_radio__40819,component_list_2way_radio,40819,1
product_components__component_list_2way_radio__68593,component_list_2way_radio,68593,1
product_components__component_list_2way_radio__70176,component_list_2way_radio,70176,1
product_components__component_list_2way_radio__15634,component_list_2way_radio,15634,1
product_components__component_list_2way_radio__26757,component_list_2way_radio,26757,1
product_components__component_list_2way_radio__28013,component_list_2way_radio,28013,1
product_components__component_list_2way_radio__22258,component_list_2way_radio,22258,1
product_components__component_list_2way_radio__41319,component_list_2way_radio,41319,1
product_components__component_list_2way_radio__87930,component_list_2way_radio,87930,1
product_components__component_list_2way_radio__34932,component_list_2way_radio,34932,1
product_components__component_list_2way_radio__78815,component_list_2way_radio,78815,1
product_components__component_list_2way_radio__93590,component_list_2way_radio,93590,1
product_components__component_list_2way_radio__81359,component_list_2way_radio,81359,1
product_components__component_list_2way_radio__92926,component_list_2way_radio,92926,1
product_components__component_list_2way_radio__42717,component_list_2way_radio,42717,1
product_components__component_list_2way_radio__42640,component_list_2way_radio,42640,1
product_components__component_list_2way_radio__66043,component_list_2way_radio,66043,1
product_components__component_list_2way_radio__45179,component_list_2way_radio,45179,1
product_components__component_list_2way_radio__87168,component_list_2way_radio,87168,1
product_components__component_list_2way_radio__69195,component_list_2way_radio,69195,1
product_components__component_list_2way_radio__71856,component_list_2way_radio,71856,1
product_components__component_list_2way_radio__53671,component_list_2way_radio,53671,1
product_components__component_list_2way_radio__10364,component_list_2way_radio,10364,1
product_components__component_list_2way_radio__14515,component_list_2way_radio,14515,1
product_components__component_list_2way_radio__80635,component_list_2way_radio,80635,1
product_components__component_list_2way_radio__63302,component_list_2way_radio,63302,1
product_components__component_list_2way_radio__24909,component_list_2way_radio,24909,1
product_components__component_list_2way_radio__61583,component_list_2way_radio,61583,1
product_components__component_list_2way_radio__86640,component_list_2way_radio,86640,1
product_components__component_list_2way_radio__44203,component_list_2way_radio,44203,1
product_components__component_list_2way_radio__69382,component_list_2way_radio,69382,1
product_components__component_list_2way_radio__43139,component_list_2way_radio,43139,1
product_components__component_list_2way_radio__22373,component_list_2way_radio,22373,1
product_components__component_list_2way_radio__75644,component_list_2way_radio,75644,1
product_components__component_list_2way_radio__95820,component_list_2way_radio,95820,1
product_components__component_list_2way_radio__81584,component_list_2way_radio,81584,1
product_components__component_list_2way_radio__61600,component_list_2way_radio,61600,1
product_components__component_list_2way_radio__69387,component_list_2way_radio,69387,1
product_components__component_list_2way_radio__77167,component_list_2way_radio,77167,1
product_components__component_list_2way_radio__62305,component_list_2way_radio,62305,1
product_components__component_list_2way_radio__98998,component_list_2way_radio,98998,1
product_components__component_list_2way_radio__23646,component_list_2way_radio,23646,1
product_components__component_list_2way_radio__218516,component_list_2way_radio,218516,1
product_components__component_list_2way_radio__89584,component_list_2way_radio,89584,1
product_components__component_list_2way_radio__32013,component_list_2way_radio,32013,1
product_components__component_list_2way_radio__74814,component_list_2way_radio,74814,1
product_components__component_list_2way_radio__97169,component_list_2way_radio,97169,1
product_components__component_list_2way_radio__81783,component_list_2way_radio,81783,1
product_components__component_list_2way_radio__69818,component_list_2way_radio,69818,1
product_components__component_list_2way_radio__94997,component_list_2way_radio,94997,1
product_components__component_list_2way_radio__44728,component_list_2way_radio,44728,1
product_components__component_list_2way_radio__75945,component_list_2way_radio,75945,1
product_components__component_list_2way_radio__45888,component_list_2way_radio,45888,1
product_components__component_list_2way_radio__200148,component_list_2way_radio,200148,1
product_components__component_list_2way_radio__39931,component_list_2way_radio,39931,1
product_components__component_list_2way_radio__80428,component_list_2way_radio,80428,1
product_components__component_list_2way_radio__16526,component_list_2way_radio,16526,1
product_components__component_list_2way_radio__56604,component_list_2way_radio,56604,1
product_components__component_list_2way_radio__26367,component_list_2way_radio,26367,1
product_components__component_list_2way_radio__54919,component_list_2way_radio,54919,1
product_components__component_list_2way_radio__54680,component_list_2way_radio,54680,1
product_components__component_list_2way_radio__58776,component_list_2way_radio,58776,1
product_components__component_list_2way_radio__10192,component_list_2way_radio,10192,1
product_components__component_list_2way_radio__43390,component_list_2way_radio,43390,1
product_components__component_list_2way_radio__216193,component_list_2way_radio,216193,1
product_components__component_list_2way_radio__220087,component_list_2way_radio,220087,1
product_components__component_list_2way_radio__16653,component_list_2way_radio,16653,1
product_components__component_list_2way_radio__216282,component_list_2way_radio,216282,1
product_components__component_list_2way_radio__83032,component_list_2way_radio,83032,1
product_components__component_list_2way_radio__68677,component_list_2way_radio,68677,1
product_components__component_list_2way_radio__85472,component_list_2way_radio,85472,1
product_components__component_list_2way_radio__16394,component_list_2way_radio,16394,1
product_components__component_list_2way_radio__65305,component_list_2way_radio,65305,1
product_components__component_list_2way_radio__67409,component_list_2way_radio,67409,1
product_components__component_list_2way_radio__15289,component_list_2way_radio,15289,1
product_components__component_list_2way_radio__38478,component_list_2way_radio,38478,1
