id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_nx_3220k_tr,NX-3220K-TR,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model </p><p>with NXDN Trunking","VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300_isck,NX-3300-ISCK,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model","UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300_isck2,NX-3300-ISCK2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300_isck3,NX-3300-ISCK3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k,NX-3300K,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model","UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k2,NX-3300K2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k2lakvp,NX-3300K2LAKVP,UHF Hi-Cap Li-Ion Value Pack : NX-3300K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-27M,UHF Hi-Cap Li-Ion Value Pack : NX-3300K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k2slakvp,NX-3300K2SLAKVP,UHF Li-Ion Value Pack : NX-3300K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,UHF Li-Ion Value Pack : NX-3300K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k2_xlkvp,NX-3300K2-XLKVP,UHF Extra-Cap Li-Ion Value Pack : NX-3300K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-27M,UHF Extra-Cap Li-Ion Value Pack : NX-3300K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3300k3,NX-3300K3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320_isck,NX-3320-ISCK,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model","UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320_isck2,NX-3320-ISCK2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320_isck3,NX-3320-ISCK3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model","UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k,NX-3320K,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model","UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k2,NX-3320K2,"UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model","UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k2lakvp,NX-3320K2LAKVP,UHF Hi-Cap Li-Ion Value Pack : NX-3320K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-27M,UHF Hi-Cap Li-Ion Value Pack : NX-3320K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k2slakvp,NX-3320K2SLAKVP,UHF Li-Ion Value Pack : NX-3320K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,UHF Li-Ion Value Pack : NX-3320K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k2_tr,NX-3320K2-TR,"UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model </p><p>with NXDN Trunking","UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k2_xlkvp,NX-3320K2-XLKVP,UHF Extra-Cap Li-Ion Value Pack : NX-3320K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-27M,UHF Extra-Cap Li-Ion Value Pack : NX-3320K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k3,NX-3320K3,"UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model","UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k3slakvp,NX-3320K3SLAKVP,UHF Li-Ion Value Pack : NX-3320K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,UHF Li-Ion Value Pack : NX-3320K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k3_tr,NX-3320K3-TR,"UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model </p><p>with NXDN Trunking","UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320kslakvp,NX-3320KSLAKVP,UHF Li-Ion Value Pack : NX-3320K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,UHF Li-Ion Value Pack : NX-3320K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3320k_tr,NX-3320K-TR,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model </p><p>with NXDN Trunking","UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3400_isck3,NX-3400-ISCK3,"800/900MHz, 3.0 Watts, 512 CH, Full Key Model, NXDN Conv & Trunking","800/900MHz, 3.0 Watts, 512 CH, Full Key Model, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3400k3,NX-3400K3,"800/900MHz, 3.0 Watts, 512 CH, Full Key Model, NXDN Conv & Trunking","800/900MHz, 3.0 Watts, 512 CH, Full Key Model, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
