id,parent_id:id,name
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_replacement_antennas,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Replacement Antennas
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_cables,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Cables
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_control_station_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Control Station Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_handheld_control_head_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Handheld Control Head Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_handsfree_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Handsfree Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_loudspeakers,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Loudspeakers
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_microphones,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Microphones
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_mounting_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Mounting Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_remote_mount_adaptor_kit_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Remote Mount Adaptor Kit Accessories
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_replacement_button_kits,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Replacement Button Kits
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_service_equipment,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Service Equipment
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_user_manuals,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,User Manuals
product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories_wireless_accessories,product_category_motorola_professional_accessories_digital_pro_tier_mobile_accessories,Wireless Accessories
product_category_motorola_professional_radio,product_category_motorola_professional,Radio
